url,title,product_description,rating,reviews_count,tags,product_details,amount_of_stars,seller_name,delivery_price,item_price,total_price,currency,price_from,price_to
https://www.google.com/shopping/product/5268628289708258757?hl=en,Apple iPhone 15 128GB Blue,"[""1GB Extra Data"",""Become a Super Recruiter and earn rewards"",""Earn £5 when recommending a friend"",""Free EU Roaming"",""Free calls and texts to same network""]",4.6,17464.0,"[""Smartphone"",""Single SIM"",""iOS"",""Blue"",""Water Resistant"",""Telephoto""]","Dynamic Island Comes To iphone 15 Dynamic Island bubbles up alerts and Live Activities so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status and so much more. Innovative Design iphone 15 features a durable colour-infused glass and aluminium design. It’s splash, water and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 15.54 cm (6.1 in) Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14. 48mp Main Camera With 2x Telephoto The 48MP Main camera shoots in super-high resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up. Next-Generation Portraits Capture portraits with dramatically more detail and colour. Just tap to shift the focus between subjects even after you take the shot. Powerhouse A16 Bionic Chip The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life. USB-C Connectivity The USB-C connector lets you charge your Mac or iPad with the same cable you use to charge iphone 15. You can even use iphone 15 to charge Apple Watch or AirPods. Vital Safety Features With Crash Detection, iPhone can detect a severe car crash and call for help if you can’t.Designed To Make A Difference iPhone comes with privacy protections that help keep you in control of your data. It’s made from more recycled materials to minimise environmental impact. And it has built-in features that make iPhone more accessible to all.","{""1_star"":1011,""2_stars"":207,""3_stars"":512,""4_stars"":1338,""5_stars"":14396}",eBay,Free delivery,"LOW PRICE$1,091.99",1149.87,USD,1149.87,1149.87
https://www.google.com/shopping/product/1256131456642361300?hl=en,Apple iPhone 7 - 128 GB - Silver - Unlocked - CDMA/GSM,"[""4.7” Retina HD display with 1334 x 750 pixel resolution"",""128 GB storage capacity"",""12 MP rear camera with 4 K video capabilities and 7 MP front facing FaceTime HD camera"",""Carrier unlocked and works on CDMA/GSM networks"",""Up to 14 hours of talk time and mobile data connection""]",4.3 of 5,48831.0,"[""Smartphone"",""Single SIM"",""4G"",""Unlocked"",""iOS"",""GSM"",""CDMA"",""Fingerprint Scanner"",""1334 x 750"",""Lightning""]",,"{""1_star"":3901,""2_stars"":1436,""3_stars"":2496,""4_stars"":8338,""5_stars"":32660}",eBay,$25.00 delivery,"$1,499.99",1660.33,USD,1499.99,1660.33
https://www.google.com/shopping/product/12550147066598313984?hl=en,Playstation 4 Pro 1TB Console - Black,"[""4K TV Gaming – PS4 Pro outputs gameplay to your 4K TV"",""More HD Power – Turn on Boost Mode to give PS4 games access to the increased power of PS4 Pro"",""HDR Technology– With an HDR TV, compatible PS4 games display an unbelievably vibrant and lifelike range of colors""]",4.7,17830.0,"[""Blu-ray Compatible"",""PlayStation Network"",""Black""]","This PS4 Pro Console bundle with Call of Duty WWII and GT Sport is your invitation to amazing 4K gaming. Boasting more than double the graphics processing power of the old-school PS4, you can now get full value out of your Ultra HD TV and join the gaming revolution as everything comes to life in amazing detail and vivid colours with the PS4 Pro. Experience higher quality visuals, as well as faster and more stable frame rates. Cutting edge hi-res graphics combine with the latest High Dynamic Range (HDR) technology to ensure visuals are now more realistic, strikingly vivid and truer to what the human eye sees in the real world, creating an absorbing gaming experience suitable for all ages. In Call of Duty WW2 you will find yourself at the heart of the Normandy Invasion and other key battles as you discover the camaraderie, bravery and determination that were so crucial to Allied victory. There's a gripping solo mission as well as multiplayer options. Gran Turismo Sport is a beautifully lifelike motor racing experience than deserves to be seen in 4K through the PS4 Pro. Get instant access to only the fastest, most desirable driving machines on the planet and experience the thrill of speed without limitation, be it alone, with friends or in the definitive online racing completion so real that it's recognized by the FIA. The new Pro's other exciting features include Blu-ray movies, internet access, digital photo and video storage, plus video chat, so you'll never be short of fun. There's no need to worry about your multiplayer experiences because you can still connect, collaborate and compete with friends using original PS4 consoles and the new PS4 Slim using the PlayStation Network. You're ready for PlayStation VR too - an immersive 360 gaming experience tha's not to be missed! You can use the drop-down menu above to pick the bundle that suits you best, including with an extra DualShock 4 controller and/or 12 months PlayStation Network access.","{""1_star"":586,""2_stars"":223,""3_stars"":481,""4_stars"":2246,""5_stars"":14294}",BOSSU,Free delivery,"SALE$177.71$406.21Was $406.21(£139.99)RefurbishedRefurbished itemThis item has been returned to the store or manufacturer. Before being sold again, it's expected to be in near-mint condition and show next to no signs of use.",177.71,USD,177.71,406.21
https://www.google.com/shopping/product/10784897989064256617?hl=en,Play Station 4 Sony 500 GB,"[""Play it on PlayStation."",""Redefine your expectations of immersion in gaming with moments so intense your intuition takes over."",""Find your friends and join them in competitive and cooperate online multiplayer games with PlayStationPlus.STREAMING SERVICES."",""Instantly Entertaining."",""Something new and amazing is always in reach."",""Step In, Take Control."",""Push the boundaries of play with DualShock4, and enhance your games with PlayStation Headsets.Dual Shock 4.""]",4.7,50632.0,"[""Blu-ray Compatible"",""PlayStation Network"",""With Motion Control"",""Black"",""Bluetooth"",""Wi-Fi""]",,"{""1_star"":1173,""2_stars"":389,""3_stars"":1107,""4_stars"":6578,""5_stars"":41385}",Tec███n.c███,$38.99 delivery,SALE$294.99$362.71Was $362.71,333.98,USD,294.99,362.71
https://www.google.com/shopping/product/5078914485324379368?hl=en,Apple iPhone 15  - 128 GB - Green - Unlocked,"[""All-day battery life"",""Dynamic Island"",""Tough all around"",""A display that shines in bright sunlight"",""48MP main camera"",""Night mode"",""A front camera autofocused on you"",""4K HDR videos"",""Magical portraits"",""A16 Bionic chip""]",4.6,17464.0,"[""Smartphone"",""Dual SIM"",""5G"",""With Wireless Charging"",""Unlocked"",""Dual Lens"",""iOS"",""GSM"",""With Expandable Storage"",""Facial Recognition""]","The Apple iPhone 15 features color-infused back glass with a stunning, textured matte finish, and a contoured edge on the aluminum enclosure. Furthermore, there is Dynamic Island, and an advanced camera system designed to help users take fantastic photos of everyday moments in their lives. A powerful 48MP main camera enables super-high-resolution photos and a 2x telephoto option to give users a total of three optical zoom levels - like having a third camera. The iPhone 15 also introduces the next generation of portraits, making it easier to capture portraits with great detail and low-light performance. With A16 Bionic for powerful, proven performance, USB‐C compatibility and excellent durability features, iPhone 15 is truly a powerhouse.","{""1_star"":1011,""2_stars"":207,""3_stars"":512,""4_stars"":1338,""5_stars"":14396}",Apple,"Free delivery by Fri, Nov 15",$729.00,791.09,USD,729.0,791.09
https://www.google.com/shopping/product/12216918916763235219?hl=en,"Apple iPhone Xr - 128 GB, White","[""In every way."",""Liquid Retina Introducing the most advanced LCD in the industry."",""Face ID Your face is your password.""]",4.5,61871.0,"[""Smartphone"",""Dual SIM"",""4G"",""With Wireless Charging"",""With Fast Charging"",""Unlocked"",""iOS"",""GSM"",""Facial Recognition"",""Lightning""]","Fully tested and Data wiped. Re boxed with new accessories including data charging cable, wall charging plug, sim extractor pin. Avoid being tied into a contract, buy the iPhone XR outright. Featuring a 6.1-inch LCD, a 12-megapixel single-lens rear camera, and an A12 chip. The iPhone XR features a precision-machined 7000 Series aerospace-grade aluminum frame that wraps around an all-glass enclosure with the same durable glass used in the more expensive iPhone XS. Apple designed the iPhone XR in six colors : white, black, blue, coral, yellow, and (PRODUCT)RED.","{""1_star"":3133,""2_stars"":1202,""3_stars"":2374,""4_stars"":7668,""5_stars"":47494}",Lov███ech███te ██████,Delivery date & cost shown at checkout,$460.81(£363.00)Used,504.26,USD,460.81,504.26
https://www.google.com/shopping/product/93107122804903368?hl=en-US,Levi's 1950's 701 Women's Jeans - Black Lizard 28 x 30,"[""A recreation of the first ever five-pocket jean designed and crafted especially for women"",""Made with a distinct high-waisted fit designed especially to flatter"",""Finished with a cloth Levi's back patch""]",4.1,96.0,"[""Jeans"",""Solid"",""28"",""Denim"",""Relaxed Fit"",""High Rise"",""30"",""Black Lizard"",""Regular""]","Made famous by a premiere American fashion magazine of the time, the 701 had a distinct high rise and a curved fit. This recreation of the 1950s 701 features the same high rise, a relaxed fit and is finished with a cloth Levi's back patch. A recreation of the first ever five-pocket jean designed and crafted especially for women Made with a distinct high-waisted fit designed especially to flatter Finished with a cloth Levi's back patch These durable selvedge jeans were woven on a traditional narrow-width shuttle loom—making them highly covetable. Roll up the cuff to show off the selvedge ID.","{""1_star"":10,""2_stars"":7,""3_stars"":10,""4_stars"":9,""5_stars"":60}",Lev███,$7.95 delivery,$245.00,252.95,USD,245.0,252.95
https://www.google.com/shopping/product/11613549576802410242?hl=en,Apple iPhone 15 Pro - 128 GB - Black Titanium,"[""6.1\"" Super Retina XDR display"",""Triple 48MP + 12MP + 12MP Camera System"",""A17 Pro chip with 6-Core GPU"",""128GB / 256 /512GB / 1TB Internal Storage"",""IP68 Water Resistance"",""Emergency SOS"",""5G Connectivity"",""Dual SIM Nano + eSIM""]",4.5,17683.0,"[""Single SIM"",""5G"",""With Wireless Charging"",""Unlocked"",""iOS"",""GSM"",""Facial Recognition"",""Black Titanium"",""Water Resistant""]","The Apple iPhone 15 Pro 128GB Black Titanium is a compact device with excellent cameras. Thanks to the powerful A17 Pro chip, even the most demanding apps respond quickly and you can play 3D games without slowing down. You can take sharp photos in every situation with the 3 cameras. With the telephoto lens, you can zoom in up to 3 times without losing quality. You can give the new action button a function. You can make it quickly open your camera, for example. You can quickly control apps like Spotify via Dynamic Island, the menu at the top of your screen. You only have 128GB storage, so you regularly have to delete apps and photos. If you choose the 256GB storage, you don't have to do that. Do you like to watch movies and series on a large screen? Choose the iPhone 15 Pro Max. The iPhone 15 series has a USB-C port, so you can't use your old Lightning accessories anymore.","{""1_star"":1407,""2_stars"":344,""3_stars"":639,""4_stars"":1264,""5_stars"":14029}",Unl███ed ███ile███,"$24.19 delivery by Mon, Dec 2","$1,258.60(£999.00)",1282.79,USD,1258.6,1282.79
https://www.google.com/shopping/product/10757978609512760850?hl=en,Apple iPhone 16 Pro Max 256GB White Titanium,"[""150GB Extra Data"",""3 months free trial os Secure Net"",""Get up to 3 months of free Apple Music"",""Apple TV+""]",3.9,3221.0,"[""Smartphone"",""Single SIM"",""iOS"",""With OLED Display"",""White Titanium"",""Water Resistant"",""With 4K Video"",""Ultra Wide Angle""]","Camera Control gives you an easier way to quickly access camera tools. Now you can take the perfect photo or video in record time. iPhone 16 Pro Max takes video capture to a whole new level with 4K 120 fps Dolby Vision, our highest resolution and frame rate combo yet. With 4 studio-quality mics and Audio Mix which lets you adjust the way voices sound in your videos using three different voice options, it's a Pro studio in your pocket. Plus iPhone 16 Pro Max adds a second 48Mp camera to the Pro camera system. The new 48Mp Ultra Wide camera has a more advanced quad-pixel sensor for super-high-resolution 48Mp ProRAW and Heif photos with autofocus. All-new A18 Pro chip powers unrivaled intelligence and unprecedented performance and a huge leap in battery life, up to 33 hours of video playback. iPhone 16 Pro max features a Grade 5 titanium design with a new, refined microblasted finish. Internal substructure and back glass optimizations and design improvements that further dissipate heat enabling you to run high-intensity gaming for longer. iPhone 16 Pro Max is splash, water, and dust resistant and latest-generation Ceramic Shield material is two times tougher than any smartphone glass. Our thinnest borders yet, for even larger displays.","{""1_star"":708,""2_stars"":86,""3_stars"":163,""4_stars"":245,""5_stars"":2019}",Blu███de'███uro█████████sac██████,"Free delivery by Wed, Dec 11","LOW PRICE$1,385.99",1385.99,USD,1385.99,1385.99
https://www.google.com/shopping/product/6637332839626677649?hl=en,Apple iPhone 15 Pro Max 1TB Black Titanium,"[""Become a Super Recruiter and earn rewards"",""Double Data"",""Earn £5 when recommending a friend"",""Free EU Roaming"",""Free calls and texts to same network""]",4.6,29083.0,"[""Smartphone"",""Dual SIM"",""5G"",""Triple Lens"",""iOS"",""Facial Recognition"",""With OLED Display"",""2796 x 1290"",""Lightning"",""USB C""]","Unveiling the iPhone 15 Pro Max, a testament to Apple's relentless pursuit of perfection. Powered by the lightning-fast A17 Pro Bionic chip, this device sets new standards for performance, ensuring effortless multitasking and responsiveness that redefines what's possible in a smartphone. Prepare to be amazed by the iPhone 15 Pro Max's camera system, delivering unparalleled photographic capabilities. With a pro-grade sensor and enhanced computational photography, it captures breathtaking 4K videos and stunning photos with astounding detail and clarity. With 5G capabilities, you'll experience lightning-fast connectivity, and Face ID ensures your device and data remain uncompromisingly secure. The iPhone 15 Pro Max isn't just a smartphone; it's a technological marvel, delivering innovation, productivity, and creativity in the palm of your hand.","{""1_star"":1924,""2_stars"":346,""3_stars"":698,""4_stars"":1719,""5_stars"":24396}",Tec███n.c███,$11.99 delivery,"LOW PRICE$1,882.49$2,936.34Was $2,936.3430-day low",1894.48,USD,1894.48,1894.48
