,region,state,individuals,family_members,state_pop,total,p_homeless,indv_per_10k
0,East South Central,Alabama,2570.0,864.0,4887681,3434.0,0.0702582676733608,702.582676733608
1,Pacific,Alaska,1434.0,582.0,735139,2016.0,0.2742338523734967,2742.3385237349667
2,Mountain,Arizona,7259.0,2606.0,7158024,9865.0,0.1378173641217185,1378.173641217185
3,West South Central,Arkansas,2280.0,432.0,3009733,2712.0,0.0901076607127609,901.076607127609
4,Pacific,California,109008.0,20964.0,39461588,129972.0,0.3293633292203041,3293.633292203041
5,Mountain,Colorado,7607.0,3250.0,5691287,10857.0,0.190765287359432,1907.65287359432
6,New England,Connecticut,2280.0,1696.0,3571520,3976.0,0.111325150076158,1113.25150076158
7,South Atlantic,Delaware,708.0,374.0,965479,1082.0,0.1120687244362642,1120.687244362642
8,South Atlantic,District of Columbia,3770.0,3134.0,701547,6904.0,0.9841108293528446,9841.108293528445
9,South Atlantic,Florida,21443.0,9587.0,21244317,31030.0,0.1460625917039366,1460.625917039366
10,South Atlantic,Georgia,6943.0,2556.0,10511131,9499.0,0.0903708649430779,903.708649430779
11,Pacific,Hawaii,4131.0,2399.0,1420593,6530.0,0.4596671953191378,4596.671953191378
12,Mountain,Idaho,1297.0,715.0,1750536,2012.0,0.1149362252475813,1149.362252475813
13,East North Central,Illinois,6752.0,3891.0,12723071,10643.0,0.0836511876731647,836.511876731647
14,East North Central,Indiana,3776.0,1482.0,6695497,5258.0,0.0785303913958889,785.303913958889
15,West North Central,Iowa,1711.0,1038.0,3148618,2749.0,0.0873081459865884,873.081459865884
16,West North Central,Kansas,1443.0,773.0,2911359,2216.0,0.0761156559531133,761.156559531133
17,East South Central,Kentucky,2735.0,953.0,4461153,3688.0,0.0826692113003073,826.692113003073
18,West South Central,Louisiana,2540.0,519.0,4659690,3059.0,0.0656481439752429,656.4814397524291
19,New England,Maine,1450.0,1066.0,1339057,2516.0,0.1878934205190667,1878.9342051906672
20,South Atlantic,Maryland,4914.0,2230.0,6035802,7144.0,0.1183604100996023,1183.604100996023
21,New England,Massachusetts,6811.0,13257.0,6882635,20068.0,0.291574375221118,2915.74375221118
22,East North Central,Michigan,5209.0,3142.0,9984072,8351.0,0.083643226931857,836.43226931857
23,West North Central,Minnesota,3993.0,3250.0,5606249,7243.0,0.1291951178051492,1291.951178051492
24,East South Central,Mississippi,1024.0,328.0,2981020,1352.0,0.0453536038000415,453.536038000415
25,West North Central,Missouri,3776.0,2107.0,6121623,5883.0,0.0961019651161138,961.019651161138
26,Mountain,Montana,983.0,422.0,1060665,1405.0,0.1324640673539713,1324.640673539713
27,West North Central,Nebraska,1745.0,676.0,1925614,2421.0,0.1257261320285373,1257.2613202853731
28,Mountain,Nevada,7058.0,486.0,3027341,7544.0,0.2491955812047602,2491.955812047602
29,New England,New Hampshire,835.0,615.0,1353465,1450.0,0.1071324341597307,1071.324341597307
30,Mid-Atlantic,New Jersey,6048.0,3350.0,8886025,9398.0,0.1057615750574638,1057.615750574638
31,Mountain,New Mexico,1949.0,602.0,2092741,2551.0,0.1218975496728931,1218.975496728931
32,Mid-Atlantic,New York,39827.0,52070.0,19530351,91897.0,0.4705342981291017,4705.342981291017
33,South Atlantic,North Carolina,6451.0,2817.0,10381615,9268.0,0.0892732007495943,892.732007495943
34,West North Central,North Dakota,467.0,75.0,758080,542.0,0.0714964119881806,714.964119881806
35,East North Central,Ohio,6929.0,3320.0,11676341,10249.0,0.0877757852395712,877.757852395712
36,West South Central,Oklahoma,2823.0,1048.0,3940235,3871.0,0.0982428713008234,982.428713008234
37,Pacific,Oregon,11139.0,3337.0,4181886,14476.0,0.3461596035855592,3461.596035855592
38,Mid-Atlantic,Pennsylvania,8163.0,5349.0,12800922,13512.0,0.1055548967488435,1055.548967488435
39,New England,Rhode Island,747.0,354.0,1058287,1101.0,0.1040360507121414,1040.360507121414
40,South Atlantic,South Carolina,3082.0,851.0,5084156,3933.0,0.0773579724933696,773.5797249336961
41,West North Central,South Dakota,836.0,323.0,878698,1159.0,0.1318996970517743,1318.996970517743
42,East South Central,Tennessee,6139.0,1744.0,6771631,7883.0,0.1164121317301548,1164.121317301548
43,West South Central,Texas,19199.0,6111.0,28628666,25310.0,0.0884078915867054,884.078915867054
44,Mountain,Utah,1904.0,972.0,3153550,2876.0,0.0911988076929175,911.9880769291748
45,New England,Vermont,780.0,511.0,624358,1291.0,0.2067723966057934,2067.723966057934
46,South Atlantic,Virginia,3928.0,2047.0,8501286,5975.0,0.0702834841693362,702.834841693362
47,Pacific,Washington,16424.0,5880.0,7523869,22304.0,0.2964432262177877,2964.432262177877
48,South Atlantic,West Virginia,1021.0,222.0,1804291,1243.0,0.0688913262882761,688.913262882761
49,East North Central,Wisconsin,2740.0,2167.0,5807406,4907.0,0.0844955561915251,844.955561915251
50,Mountain,Wyoming,434.0,205.0,577601,639.0,0.1106300023718795,1106.300023718795
