,state,indv_per_10k
8,District of Columbia,9841.108293528445
32,New York,4705.342981291017
11,Hawaii,4596.671953191378
37,Oregon,3461.596035855592
4,California,3293.633292203041
47,Washington,2964.432262177877
21,Massachusetts,2915.74375221118
1,Alaska,2742.3385237349667
28,Nevada,2491.955812047602
45,Vermont,2067.723966057934
5,Colorado,1907.65287359432
19,Maine,1878.9342051906672
9,Florida,1460.625917039366
2,Arizona,1378.173641217185
26,Montana,1324.640673539713
41,South Dakota,1318.996970517743
23,Minnesota,1291.951178051492
27,Nebraska,1257.2613202853731
31,New Mexico,1218.975496728931
20,Maryland,1183.604100996023
42,Tennessee,1164.121317301548
12,Idaho,1149.362252475813
7,Delaware,1120.687244362642
6,Connecticut,1113.25150076158
50,Wyoming,1106.300023718795
29,New Hampshire,1071.324341597307
30,New Jersey,1057.615750574638
38,Pennsylvania,1055.548967488435
39,Rhode Island,1040.360507121414
36,Oklahoma,982.428713008234
25,Missouri,961.019651161138
44,Utah,911.9880769291748
10,Georgia,903.708649430779
3,Arkansas,901.076607127609
33,North Carolina,892.732007495943
43,Texas,884.078915867054
35,Ohio,877.757852395712
15,Iowa,873.081459865884
49,Wisconsin,844.955561915251
13,Illinois,836.511876731647
22,Michigan,836.43226931857
17,Kentucky,826.692113003073
14,Indiana,785.303913958889
40,South Carolina,773.5797249336961
16,Kansas,761.156559531133
34,North Dakota,714.964119881806
46,Virginia,702.834841693362
0,Alabama,702.582676733608
48,West Virginia,688.913262882761
18,Louisiana,656.4814397524291
24,Mississippi,453.536038000415
