S.N.,Symbol,Company,Listed Share,Paid-up (Rs),Total Paid-up Capital (Rs),Market Capitalization (Rs),Date of Operation,LTP,As Of:
1,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,"26,120,798.00",100.00,"2,612,079,800.00","18,071,412,888.32",1997-07-17,691.84,2025-03-30
2,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,"32,153,459.00",100.00,"3,215,345,900.00","27,440,726,514.37",2001-12-10,853.43,2025-03-30
3,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,"18,682,858.00",100.00,"1,868,285,800.00","14,675,758,616.16",2001-07-03,785.52,2025-03-30
4,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,"16,566,250.00",100.00,"1,656,625,000.00","13,808,135,037.50",2002-02-22,833.51,2025-03-30
5,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,"13,448,714.00",100.00,"1,344,871,400.00","10,474,530,898.90",2009-12-28,778.85,2025-03-30
6,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,"43,126,216.00",100.00,"4,312,621,600.00","34,427,226,970.64",2002-03-11,798.29,2025-03-30
7,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,"6,711,052.00",100.00,"671,105,200.00","6,610,587,551.56",2009-05-20,985.03,2025-03-30
8,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,"4,076,925.00",100.00,"407,692,500.00","4,380,655,912.50",2010-07-21,"1,074.50",2025-03-30
9,JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,"1,700,919.00",100.00,"170,091,900.00","2,572,129,711.80",2010-11-09,"1,512.20",2025-03-30
10,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,"2,239,332.00",100.00,"223,933,200.00","3,516,154,319.76",2009-04-29,"1,570.18",2025-03-30
11,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,"4,416,621.00",100.00,"441,662,100.00","4,778,783,922.00",2012-06-04,"1,082.00",2025-03-30
12,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),"3,198,182.00",100.00,"319,818,200.00","3,156,605,634.00",2012-01-05,987.00,2025-03-30
13,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,"7,450,404.00",100.00,"745,040,400.00","6,443,928,923.64",2013-03-28,864.91,2025-03-30
14,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,"11,959,539.00",100.00,"1,195,953,900.00","14,363,406,339.00",2013-05-17,"1,201.00",2025-03-30
15,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,"14,190,000.00",100.00,"1,419,000,000.00","10,374,876,600.00",2013-07-18,731.14,2025-03-30
16,GILB,Global IME Laghubitta Bittiya Sanstha Limited,"6,189,001.00",100.00,"618,900,100.00","7,894,070,775.50",2013-05-19,"1,275.50",2025-03-30
