id,nepse_index,absolute_change,percentage_change,turnover,date,scraped_at
1,2670.7,-5.57,-0.20,5637981250.22,2025-04-10,2025-04-10
2,2676.28,9.66,0.36,4484619740.83,2025-04-09,2025-04-10
3,2666.61,-3.44,-0.12,5309562287.49,2025-04-08,2025-04-10
4,2670.06,-33.33,-1.23,5658973766.4,2025-04-07,2025-04-10
5,2703.39,3.35,0.12,7844642487.27,2025-04-03,2025-04-10
6,2700.04,23.86,0.89,5444435901.35,2025-04-02,2025-04-10
7,2676.17,-16.95,-0.62,5797791700.14,2025-04-01,2025-04-10
8,2693.12,29.82,1.11,7568226197.37,2025-03-30,2025-04-10
9,2663.3,41.43,1.58,5223083340.93,2025-03-27,2025-04-10
10,2621.86,39.13,1.51,4204408894.89,2025-03-26,2025-04-10
11,2582.73,-58.05,-2.19,5180718708.09,2025-03-25,2025-04-10
12,2640.78,26.10,0.99,4483599004.48,2025-03-24,2025-04-10
13,2614.68,-54.62,-2.04,6320141365.59,2025-03-23,2025-04-10
14,2669.31,-12.84,-0.47,4561311282.76,2025-03-20,2025-04-10
15,2682.15,-14.88,-0.55,5143997643.35,2025-03-19,2025-04-10
16,2697.04,-7.66,-0.28,4346632263.56,2025-03-18,2025-04-10
17,2704.7,-10.14,-0.37,5408314075.31,2025-03-17,2025-04-10
18,2714.85,-21.63,-0.79,6836640407.59,2025-03-16,2025-04-10
19,2736.48,17.28,0.63,8235268755.31,2025-03-12,2025-04-10
20,2719.2,-32.21,-1.17,8391149050.0,2025-03-11,2025-04-10
21,2751.42,-20.68,-0.74,8378055057.57,2025-03-10,2025-04-10
22,2772.1,-46.33,-1.64,10093624481.61,2025-03-09,2025-04-10
23,2818.43,-2.70,-0.09,10101817681.94,2025-03-06,2025-04-10
24,2821.13,-25.16,-0.88,10972654473.07,2025-03-05,2025-04-10
25,2846.3,-30.36,-1.05,12946493939.18,2025-03-04,2025-04-10
26,2876.66,-13.62,-0.47,14284510595.52,2025-03-03,2025-04-10
27,2890.28,75.24,2.67,14250475736.94,2025-03-02,2025-04-10
28,2815.04,49.15,1.77,11392401815.9,2025-02-27,2025-04-10
29,2765.88,7.13,0.25,9909386227.96,2025-02-25,2025-04-10
30,2758.75,3.35,0.12,11085464758.61,2025-02-24,2025-04-10
31,2755.4,11.66,0.42,11548337612.87,2025-02-23,2025-04-10
32,2743.74,3.14,0.11,8627687599.85,2025-02-20,2025-04-10
33,2740.59,12.68,0.46,10437006214.82,2025-02-18,2025-04-10
34,2727.91,29.87,1.10,10049654832.64,2025-02-17,2025-04-10
35,2698.03,19.56,0.73,9470308266.49,2025-02-16,2025-04-10
36,2678.47,-7.26,-0.27,7921300982.67,2025-02-13,2025-04-10
37,2685.73,1.86,0.06,8717847062.68,2025-02-12,2025-04-10
38,2683.86,6.54,0.24,7246221260.29,2025-02-11,2025-04-10
39,2677.32,-10.98,-0.40,6960292235.03,2025-02-10,2025-04-10
40,2688.31,-11.49,-0.42,8398660628.97,2025-02-09,2025-04-10
41,2699.81,-11.64,-0.42,9247375287.26,2025-02-06,2025-04-10
42,2711.45,-4.45,-0.16,8958007305.37,2025-02-05,2025-04-10
43,2715.91,-14.08,-0.51,8919697775.36,2025-02-04,2025-04-10
44,2730.0,2.41,0.08,11875967538.34,2025-02-03,2025-04-10
