S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
1,"2,678.51","2,704.58","2,669.22","2,689.22",27.14,1.01,"8,544,357,887.81",2025-04-15
2,"2,673.01","2,676.70","2,657.32","2,662.08",-8.62,-0.32,"6,280,296,245.03",2025-04-13
3,"2,677.57","2,687.92","2,667.00","2,670.70",-5.57,-0.20,"5,637,981,250.22",2025-04-10
4,"2,681.86","2,701.12","2,671.65","2,676.28",9.66,0.36,"4,484,619,740.83",2025-04-09
5,"2,671.62","2,674.88","2,631.68","2,666.61",-3.44,-0.12,"5,309,562,287.49",2025-04-08
6,"2,702.09","2,710.13","2,667.56","2,670.06",-33.33,-1.23,"5,658,973,766.40",2025-04-07
7,"2,700.40","2,732.85","2,700.23","2,703.39",3.35,0.12,"7,844,642,487.27",2025-04-03
8,"2,693.11","2,712.25","2,669.06","2,700.04",23.86,0.89,"5,444,435,901.35",2025-04-02
9,"2,691.59","2,696.50","2,654.57","2,676.17",-16.95,-0.62,"5,797,791,700.14",2025-04-01
10,"2,661.40","2,718.95","2,657.88","2,693.12",29.82,1.11,"7,568,226,197.37",2025-03-30
11,"2,632.12","2,665.17","2,621.46","2,663.30",41.43,1.58,"5,223,083,340.93",2025-03-27
12,"2,580.18","2,625.60","2,579.45","2,621.86",39.13,1.51,"4,204,408,894.89",2025-03-26
13,"2,652.87","2,652.87","2,581.32","2,582.73",-58.05,-2.19,"5,180,718,708.09",2025-03-25
14,"2,610.45","2,645.99","2,592.32","2,640.78",26.10,0.99,"4,483,599,004.48",2025-03-24
15,"2,667.61","2,669.00","2,614.09","2,614.68",-54.62,-2.04,"6,320,141,365.59",2025-03-23
16,"2,679.91","2,685.87","2,666.69","2,669.31",-12.84,-0.47,"4,561,311,282.76",2025-03-20
17,"2,699.18","2,706.16","2,676.69","2,682.15",-14.88,-0.55,"5,143,997,643.35",2025-03-19
18,"2,721.81","2,723.89","2,690.58","2,697.04",-7.66,-0.28,"4,346,632,263.56",2025-03-18
19,"2,715.75","2,732.51","2,699.20","2,704.70",-10.14,-0.37,"5,408,314,075.31",2025-03-17
20,"2,735.97","2,739.55","2,693.55","2,714.85",-21.63,-0.79,"6,836,640,407.59",2025-03-16
21,"2,718.35","2,745.58","2,717.29","2,736.48",17.28,0.63,"8,235,268,755.31",2025-03-12
22,"2,752.31","2,762.25","2,712.74","2,719.20",-32.21,-1.17,"8,391,149,050.00",2025-03-11
23,"2,770.17","2,791.03","2,743.65","2,751.42",-20.68,-0.74,"8,378,055,057.57",2025-03-10
24,"2,819.92","2,819.92","2,766.08","2,772.10",-46.33,-1.64,"10,093,624,481.61",2025-03-09
25,"2,822.74","2,834.07","2,811.37","2,818.43",-2.70,-0.09,"10,101,817,681.94",2025-03-06
26,"2,846.91","2,850.16","2,808.75","2,821.13",-25.16,-0.88,"10,972,654,473.07",2025-03-05
27,"2,877.22","2,894.62","2,842.78","2,846.30",-30.36,-1.05,"12,946,493,939.18",2025-03-04
28,"2,900.16","2,929.21","2,867.46","2,876.66",-13.62,-0.47,"14,284,510,595.52",2025-03-03
29,"2,829.12","2,890.28","2,826.86","2,890.28",75.24,2.67,"14,250,475,736.94",2025-03-02
30,"2,786.65","2,827.15","2,785.98","2,815.04",49.15,1.77,"11,392,401,815.90",2025-02-27
31,"2,759.07","2,781.95","2,758.84","2,765.88",7.13,0.25,"9,909,386,227.96",2025-02-25
32,"2,754.54","2,785.10","2,746.00","2,758.75",3.35,0.12,"11,085,464,758.61",2025-02-24
33,"2,724.09","2,768.90","2,690.42","2,755.40",11.66,0.42,"11,548,337,612.87",2025-02-23
34,"2,738.93","2,752.35","2,720.69","2,743.74",3.14,0.11,"8,627,687,599.85",2025-02-20
35,"2,735.97","2,757.30","2,726.43","2,740.59",12.68,0.46,"10,437,006,214.82",2025-02-18
36,"2,701.26","2,738.00","2,700.53","2,727.91",29.87,1.10,"10,049,654,832.64",2025-02-17
37,"2,676.91","2,698.31","2,675.90","2,698.03",19.56,0.73,"9,470,308,266.49",2025-02-16
38,"2,686.77","2,697.34","2,673.88","2,678.47",-7.26,-0.27,"7,921,300,982.67",2025-02-13
39,"2,686.80","2,697.41","2,679.78","2,685.73",1.86,0.06,"8,717,847,062.68",2025-02-12
40,"2,678.08","2,691.91","2,673.03","2,683.86",6.54,0.24,"7,246,221,260.29",2025-02-11
41,"2,684.80","2,699.79","2,666.72","2,677.32",-10.98,-0.40,"6,960,292,235.03",2025-02-10
42,"2,697.31","2,725.95","2,683.28","2,688.31",-11.49,-0.42,"8,398,660,628.97",2025-02-09
43,"2,713.66","2,720.48","2,691.56","2,699.81",-11.64,-0.42,"9,247,375,287.26",2025-02-06
44,"2,719.41","2,726.07","2,704.24","2,711.45",-4.45,-0.16,"8,958,007,305.37",2025-02-05
45,"2,733.41","2,745.15","2,707.37","2,715.91",-14.08,-0.51,"8,919,697,775.36",2025-02-04
